Subject,Session,Run,State,Fractional occupancy (%),Dwell time (s)
12,LSD,3,3,19.35483870967742,7.0
12,LSD,3,4,30.87557603686636,6.090909090909091
13,LSD,3,1,23.502304147465438,9.272727272727273
13,LSD,3,2,28.57142857142857,7.294117647058823
13,LSD,3,3,17.51152073732719,6.909090909090909
13,LSD,3,4,30.414746543778804,7.333333333333333
14,LSD,3,1,27.64976958525346,8.0
14,LSD,3,2,21.19815668202765,4.380952380952381
14,LSD,3,3,25.806451612903224,8.0
14,LSD,3,4,25.34562211981567,5.7894736842105265
